Column,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,Name_Ac_Title,Names,Names_Reconciled,Geburtsdatum,Sterbedatum,GND-Nummer,Place,Place_Reconciled,Place_Qid,Place_Coordinates,Country,Occupation,Original_LINE
"
60,1873,GEG,OM,HL,IN,39,Dr.,Leo Meyer,Leo Meyer,,,,,Tartu,Q13972,"58.38,26.7225",,Professor der deutschen und vergleichenden Sprachkunde," Dr. Leo Meyer,| Professor der deutschen und vergleichenden Sprachkunde. 
"
61,1873,GEG,OM,HL,IN,40,Dr.,Arthur von Oellingen,Arthur von Oellingen,,,,,Tartu,Q13972,"58.38,26.7225",,Professor der Physik," Dr. Arthur v. Oellingen,| Professor der Physik. 
"
62,1873,GEG,OM,HL,IN,41,,C. Paul,C. Paul,,,,,Tartu,Q13972,"58.38,26.7225",,emer. Pastor.," C. Paul,| emer. Pastor. 
"
63,1873,GEG,OM,HL,IN,42,,T. Peck,T. Peck,,,,,Tartu,Q13972,"58.38,26.7225",,Canzleibeamter des Raths," T. Peck,| Canzleibeamter des Raths. 
"
64,1873,GEG,OM,HL,IN,43,,R. Rech,R. Rech,,,,,Tartu,Q13972,"58.38,26.7225",,Revisor," R. Rech,| Revisor. 
"
65,1873,GEG,OM,HL,IN,44,Dr.,Franz Rühl,"Rühl, Franz",,,,,Tartu,Q13972,"58.38,26.7225",,Docent der realen und historischen Altertumswissenschaften," Dr. Franz Rühl,| Doeent der realen und hi-storischen Altertumswissenschaften. 
"
66,1873,GEG,OM,HL,IN,45,Dr.,A. Schrenck,"Schrenck, A. P. von",,,,,Tartu,Q13972,"58.38,26.7225",,," Dr. A. Schrenck.| 
"
67,1873,GEG,OM,HL,IN,46,Dr.,AZ. Schultz,AZ. Schultz,,,,,Tartu,Q13972,"58.38,26.7225",,," Dr. AZ. Schultz.| 
"
68,1873,GEG,OM,HL,IN,47,Dr.,L. Stieda,"Stieda, Ludwig",,,,,Tartu,Q13972,"58.38,26.7225",,außerordentlicher Professor," Dr. L. Stieda,| außerordentlicher Professor. 
"
69,1873,GEG,OM,HL,IN,48,Dr.,O. Schmidt,"Schmidt, O.",,,,,Tartu,Q13972,"58.38,26.7225",,Professor der Jurisprudenz," Dr. O. Schmidt,| Professor der Jurisprudenz. 
"
70,1873,GEG,OM,HL,IN,49,,R. Stillmark,R. Stillmark,,,,,Tartu,Q13972,"58.38,26.7225",,Obersecretär des Raths," R. Stillmark,| Obersecretär des Raths. 
"
71,1873,GEG,OM,HL,IN,50,,W. Töpffer,W. Töpffer,,,,,Tartu,Q13972,"58.38,26.7225",,Rathsherr," W. Töpffer,| Rathsherr. 
"
72,1873,GEG,OM,HL,IN,51,,H. Treffner,H. Treffner,,,,,Tartu,Q13972,"58.38,26.7225",,stud. theol.," H. Treffner,| stud. theol. 
"
73,1873,GEG,OM,HL,IN,52,,Harald Baron Toll,"Toll, Harald von",,,,,Tartu,Q13972,"58.38,26.7225",,stud. jur.," Harald Baron Toll,| stud. jur. 
